Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Statement - afterText = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_MemberLevel)),Chrome 67.0.3396.99,\u53D6\u5F97\u7EBF\u4E0A\u652F\u4ED8\u660E\u7EC6\u300C\u6703\u54E1\u7B49\u7D1A\u300D,2018-07-06 14:25:29,2018-07-06 14:25:30,0.618s,PASSED
verifyEqual,Chrome 67.0.3396.99,\u6BD4\u8F03\u6703\u54E1\u7B49\u7D1A\u662F\u5426\u76F8\u540C,2018-07-06 14:25:30,2018-07-06 14:25:30,0.001s,PASSED
Start listener action : AfterTestCase,Chrome 67.0.3396.99,,2018-07-06 14:25:30,2018-07-06 14:25:30,0.662s,PASSED
,,,,,,
Test Cases/TC_Online Payment Bulletin/TC_OnlinePaymentBulletin04,Chrome 67.0.3396.99,,2018-07-06 14:25:30,2018-07-06 14:25:43,12.321s,PASSED
Start listener action : BeforeTestCase,Chrome 67.0.3396.99,,2018-07-06 14:25:30,2018-07-06 14:25:35,4.396s,PASSED
common.MasterLogin.Login,Chrome 67.0.3396.99,,2018-07-06 14:25:35,2018-07-06 14:25:39,3.547s,PASSED
common.MenuIntoPage.getDropdownMenu,Chrome 67.0.3396.99,\u5E33\u52D9\u7BA1\u7406 -> \u7DDA\u4E0A\u652F\u4ED8\u770B\u677F,2018-07-06 14:25:39,2018-07-06 14:25:39,0.242s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:25:39,2018-07-06 14:25:39,0.632s,PASSED
waitForElementClickable,Chrome 67.0.3396.99,\u7EBF\u4E0A\u652F\u4ED8\u770B\u677F--\u641C\u5BFB--\u7B49\u5F85\u5F48\u7A97\u51FA\u73FE,2018-07-06 14:25:39,2018-07-06 14:25:39,0.048s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-06 14:25:39,2018-07-06 14:25:41,2.002s,PASSED
Statement - LastMonthNumberOne = CustomKeywords.extension.UIMethod.setLastDayMonth(),Chrome 67.0.3396.99,\u9078\u53D6\u4E0A\u500B\u67081\u865F,2018-07-06 14:25:41,2018-07-06 14:25:41,0.018s,PASSED
setText,Chrome 67.0.3396.99,\u8F38\u5165\u4E0A\u500B\u67081\u865F,2018-07-06 14:25:41,2018-07-06 14:25:42,0.333s,PASSED
click,Chrome 67.0.3396.99,\u641C\u5C0B,2018-07-06 14:25:42,2018-07-06 14:25:42,0.150s,PASSED
Statement - beforeText = CustomKeywords.extension.DataConversion.yearmonthdate(LastMonthNumberOne),Chrome 67.0.3396.99,\u8F49\u63DB\u4E0A\u500B\u67081\u865F\u70BA\u6578\u503C,2018-07-06 14:25:42,2018-07-06 14:25:42,0.002s,PASSED
Statement - after = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/ThirdPartyPayment/Index_Page/text_StatusUpdateDate)),Chrome 67.0.3396.99,,2018-07-06 14:25:42,2018-07-06 14:25:42,0.068s,PASSED
